date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:35:07	131/131	---MC-	404	error ('Not%20Found')	text/html	date:Wed,%2011%20Jun%202014%2015:35:05%20GMT	http://www.hashdog.com/robots.txt		(from )
23:35:12	17733/17733	---MC-	200	added ('OK')	text/html	date:Mon,%2014%20Apr%202014%2020:24:14%20GMT	http://www.hashdog.com/brochure/	/home/eroica/websites/slides/www.hashdog.com/brochure/index.html	(from )
23:35:15	648/648	---M--	200	added ('OK')	image/png	date:Fri,%2028%20Feb%202014%2016:01:02%20GMT	http://www.hashdog.com/brochure/favicon.png	/home/eroica/websites/slides/www.hashdog.com/brochure/favicon.png	(from )
23:35:16	169/169	---MC-	404	error ('Not%20Found')	text/html	date:Wed,%2011%20Jun%202014%2015:35:15%20GMT	http://www.hashdog.com/brochure/apple-touch-icon.png	/home/eroica/websites/slides/www.hashdog.com/brochure/apple-touch-icon.3.delayed	(from )
23:35:16	28248/28248	---M--	200	added ('OK')	text/css	date:Fri,%2028%20Feb%202014%2016:01:01%20GMT	http://www.hashdog.com/brochure/css/impress-demo.css	/home/eroica/websites/slides/www.hashdog.com/brochure/css/impress-demo.css	(from )
23:35:21	27232/27232	---M--	200	added ('OK')	text/css	date:Fri,%2028%20Feb%202014%2016:00:59%20GMT	http://www.hashdog.com/brochure/css/font-awesome.css	/home/eroica/websites/slides/www.hashdog.com/brochure/css/font-awesome.css	(from )
23:35:29	17722/17722	---M--	200	added ('OK')	image/png	date:Fri,%2028%20Feb%202014%2016:02:18%20GMT	http://www.hashdog.com/brochure/img/ruby_icon.png	/home/eroica/websites/slides/www.hashdog.com/brochure/img/ruby_icon.png	(from )
23:35:30	6515/6515	---M--	200	added ('OK')	image/png	date:Fri,%2028%20Feb%202014%2016:01:55%20GMT	http://www.hashdog.com/brochure/img/compass.png	/home/eroica/websites/slides/www.hashdog.com/brochure/img/compass.png	(from )
23:35:31	2238/2238	---M--	200	added ('OK')	image/png	date:Fri,%2028%20Feb%202014%2016:02:00%20GMT	http://www.hashdog.com/brochure/img/foundation.png	/home/eroica/websites/slides/www.hashdog.com/brochure/img/foundation.png	(from )
23:35:31	4821/4821	---M--	200	added ('OK')	image/png	date:Fri,%2028%20Feb%202014%2016:01:47%20GMT	http://www.hashdog.com/brochure/img/bourbonneat.png	/home/eroica/websites/slides/www.hashdog.com/brochure/img/bourbonneat.png	(from )
23:35:32	3897/3897	---M--	200	added ('OK')	image/png	date:Fri,%2028%20Feb%202014%2016:02:01%20GMT	http://www.hashdog.com/brochure/img/jquery.png	/home/eroica/websites/slides/www.hashdog.com/brochure/img/jquery.png	(from )
23:35:32	57257/57257	---M--	200	added ('OK')	text/css	date:Fri,%2028%20Feb%202014%2016:00:45%20GMT	http://www.hashdog.com/brochure/css/animate.css	/home/eroica/websites/slides/www.hashdog.com/brochure/css/animate.css	(from )
23:35:33	3750/3750	---M--	200	added ('OK')	image/png	date:Fri,%2028%20Feb%202014%2016:01:52%20GMT	http://www.hashdog.com/brochure/img/coffeescript.png	/home/eroica/websites/slides/www.hashdog.com/brochure/img/coffeescript.png	(from )
23:35:34	11950/11950	---M--	200	added ('OK')	image/png	date:Fri,%2028%20Feb%202014%2016:01:46%20GMT	http://www.hashdog.com/brochure/img/backbone.png	/home/eroica/websites/slides/www.hashdog.com/brochure/img/backbone.png	(from )
23:35:34	7743/7743	---M--	200	added ('OK')	image/png	date:Fri,%2028%20Feb%202014%2016:01:43%20GMT	http://www.hashdog.com/brochure/img/angular.png	/home/eroica/websites/slides/www.hashdog.com/brochure/img/angular.png	(from )
23:35:35	4234/4234	---M--	200	added ('OK')	image/png	date:Fri,%2028%20Feb%202014%2016:02:12%20GMT	http://www.hashdog.com/brochure/img/nodejs.png	/home/eroica/websites/slides/www.hashdog.com/brochure/img/nodejs.png	(from )
23:35:36	11099/11099	---M--	200	added ('OK')	image/png	date:Fri,%2028%20Feb%202014%2016:02:08%20GMT	http://www.hashdog.com/brochure/img/middleman.png	/home/eroica/websites/slides/www.hashdog.com/brochure/img/middleman.png	(from )
23:35:36	7956/7956	---M--	200	added ('OK')	image/png	date:Fri,%2028%20Feb%202014%2016:01:59%20GMT	http://www.hashdog.com/brochure/img/ember.png	/home/eroica/websites/slides/www.hashdog.com/brochure/img/ember.png	(from )
